episode,step,epsilon,reward,loss
28450,3764567,0.1000,9.78,33.7246
28500,3777008,0.1000,8.10,30.0369
28550,3790795,0.1000,9.90,37.1215
28600,3805112,0.1000,9.92,40.5151
28650,3819572,0.1000,11.14,51.6670
28700,3832721,0.1000,9.34,51.6429
28750,3846762,0.1000,9.10,56.7024
28800,3860706,0.1000,10.04,48.8494
28850,3874579,0.1000,9.86,48.5979
28900,3888127,0.1000,10.12,42.5864
28950,3902659,0.1000,10.18,48.1943
29000,3917444,0.1000,11.26,44.7060
29050,3931179,0.1000,10.30,44.9282
29100,3946133,0.1000,10.08,46.6085
29150,3959428,0.1000,9.56,40.3012
29200,3972967,0.1000,9.40,42.4502
29250,3986334,0.1000,9.00,40.5946
29300,4000116,0.1000,9.40,36.3479
29350,4014056,0.1000,10.86,39.1624
29400,4028214,0.1000,9.94,29.7328
29450,4040369,0.1000,8.72,24.2816
29500,4053170,0.1000,9.10,24.1270
29550,4065926,0.1000,8.04,22.9421
29600,4080555,0.1000,10.00,25.3174
29650,4093591,0.1000,8.88,27.6574
29700,4107351,0.1000,9.38,25.9225
29750,4121476,0.1000,9.82,22.9168
29800,4134877,0.1000,10.68,22.8070
29850,4149495,0.1000,11.12,25.5580
29900,4164215,0.1000,10.40,27.5063
29950,4180144,0.1000,11.56,28.1758
30000,4195067,0.1000,11.02,25.3556
30050,4209374,0.1000,9.90,24.9542
30100,4222799,0.1000,9.72,22.3769
30150,4236874,0.1000,9.00,21.3718
30200,4250362,0.1000,9.16,19.1180
30250,4262887,0.1000,8.22,20.0518
30300,4275409,0.1000,8.38,18.7800
30350,4289811,0.1000,9.68,23.0187
30400,4302352,0.1000,7.90,18.7297
30450,4313902,0.1000,7.14,17.5550
30500,4326562,0.1000,8.58,18.2507
30550,4340122,0.1000,9.60,24.1474
30600,4352641,0.1000,8.98,23.1491
30650,4365523,0.1000,8.72,21.9575
30700,4380388,0.1000,9.62,26.0151
30750,4393906,0.1000,8.72,19.5814
30800,4407452,0.1000,9.30,19.3982
30850,4421138,0.1000,9.52,20.2111
30900,4434898,0.1000,9.72,18.5433
30950,4449216,0.1000,9.40,17.0015
31000,4461312,0.1000,7.24,13.3226
31050,4475744,0.1000,10.80,16.8447
31100,4488564,0.1000,8.20,15.2275
31150,4501945,0.1000,9.70,16.1329
31200,4518004,0.1000,11.26,17.9067
31250,4533514,0.1000,11.22,16.6808
31300,4547510,0.1000,10.26,15.9553
31350,4560728,0.1000,9.16,16.2996
31400,4572672,0.1000,7.44,14.3542
31450,4588269,0.1000,12.20,18.1968
31500,4602302,0.1000,10.22,16.8837
31550,4616744,0.1000,10.80,17.9587
31600,4631300,0.1000,10.74,17.8575
31650,4645657,0.1000,8.78,18.9141
31700,4660798,0.1000,10.96,20.6136
31750,4676006,0.1000,10.58,19.7962
31800,4690430,0.1000,9.36,16.4287
31850,4706161,0.1000,11.56,17.1869
31900,4720163,0.1000,10.26,14.3297
31950,4735677,0.1000,10.78,14.7670
32000,4748600,0.1000,9.36,11.4222
32050,4761677,0.1000,8.82,12.9150
32100,4774534,0.1000,9.02,12.1216
32150,4788189,0.1000,8.18,14.6051
32200,4804078,0.1000,11.50,16.0317
32250,4817579,0.1000,9.34,12.6077
32300,4830826,0.1000,8.96,12.3460
32350,4844981,0.1000,9.28,14.3505
32400,4859222,0.1000,9.40,14.9419
32450,4874383,0.1000,10.64,14.8147
32500,4888149,0.1000,9.58,13.5450
32550,4903989,0.1000,11.36,16.4271
32600,4918167,0.1000,9.26,13.0192
32650,4931099,0.1000,9.42,13.3706
32700,4944879,0.1000,9.00,14.6589
32750,4959491,0.1000,10.26,14.9456
32800,4973824,0.1000,9.26,14.7595
32850,4988235,0.1000,9.02,16.2028
32900,5002229,0.1000,9.74,14.7138
32950,5016478,0.1000,10.46,14.5556
33000,5029406,0.1000,9.52,13.8354
33050,5044177,0.1000,10.34,17.3840
33100,5058047,0.1000,9.82,17.9399
33150,5070545,0.1000,8.42,14.4092
33200,5085058,0.1000,9.88,17.4262
33250,5098146,0.1000,9.10,17.0519
33300,5113189,0.1000,9.94,22.2075
33350,5126571,0.1000,8.96,19.0361
33400,5140983,0.1000,9.22,17.4444
33450,5156206,0.1000,11.40,19.5617
33500,5169312,0.1000,8.92,21.0070
33550,5183560,0.1000,10.44,23.9410
33600,5197564,0.1000,10.68,23.5910
33650,5213395,0.1000,10.80,27.4315
33700,5227363,0.1000,10.22,25.0320
33750,5244438,0.1000,12.50,29.0319
33800,5258452,0.1000,9.02,24.5566
33850,5272693,0.1000,10.02,22.7499
33900,5287318,0.1000,11.20,22.5418
33950,5301581,0.1000,9.86,21.2637
34000,5315913,0.1000,10.52,21.5214
34050,5330169,0.1000,10.40,19.8709
34100,5344711,0.1000,11.06,20.7817
34150,5357416,0.1000,8.28,18.3141
34200,5370979,0.1000,9.74,18.1682
34250,5386805,0.1000,11.04,19.6395
34300,5402135,0.1000,11.56,19.0298
34350,5414950,0.1000,9.12,17.2684
34400,5430682,0.1000,11.90,22.4919
34450,5445606,0.1000,10.32,18.1587
34500,5460672,0.1000,9.88,18.2841
34550,5474699,0.1000,9.62,16.6403
34600,5491067,0.1000,12.14,16.8753
34650,5506507,0.1000,11.02,16.1047
34700,5522403,0.1000,12.20,17.2956
34750,5537368,0.1000,10.72,17.1112
34800,5552475,0.1000,10.70,16.5044
34850,5566367,0.1000,10.40,16.3401
34900,5581843,0.1000,11.06,20.2078
34950,5595750,0.1000,9.40,17.6076
35000,5611254,0.1000,11.28,18.4713
35050,5625608,0.1000,10.74,15.5299
35100,5640955,0.1000,11.52,18.3657
35150,5654345,0.1000,10.90,17.8619
35200,5668858,0.1000,11.86,19.6962
35250,5682939,0.1000,9.40,18.8469
35300,5696846,0.1000,9.04,17.0906
35350,5711036,0.1000,10.12,18.9425
35400,5726859,0.1000,11.34,24.9276
35450,5742346,0.1000,11.24,24.0843
35500,5757921,0.1000,11.06,23.1266
35550,5772040,0.1000,11.00,19.6123
35600,5785075,0.1000,8.90,22.9398
35650,5799351,0.1000,9.88,27.3295
35700,5814379,0.1000,10.88,29.5563
35750,5828905,0.1000,9.54,26.1484
35800,5843116,0.1000,9.20,24.1643
35850,5859145,0.1000,12.02,28.7937
35900,5873752,0.1000,10.28,25.0349
35950,5889318,0.1000,11.02,26.1596
36000,5904963,0.1000,12.24,28.0131
36050,5918745,0.1000,11.52,25.1090
36100,5934361,0.1000,11.06,27.5567
36150,5949067,0.1000,9.84,25.9464
36200,5964127,0.1000,10.18,26.3236
36250,5977990,0.1000,9.20,20.8330
36300,5992830,0.1000,9.64,21.6768
36350,6009585,0.1000,12.60,23.9485
36400,6022956,0.1000,8.30,18.3065
36450,6036218,0.1000,8.84,19.6688
36500,6049299,0.1000,8.82,20.6135
36550,6063416,0.1000,9.24,22.1020
36600,6077452,0.1000,10.38,21.5770
36650,6091843,0.1000,10.62,20.9039
36700,6107277,0.1000,11.36,21.7868
36750,6122037,0.1000,11.18,22.9768
36800,6136731,0.1000,10.58,23.7170
36850,6151884,0.1000,10.10,23.7139
36900,6168426,0.1000,11.78,28.2699
36950,6181897,0.1000,9.84,20.7114
37000,6195068,0.1000,8.70,19.4472
37050,6207245,0.1000,7.66,17.6066
37100,6223294,0.1000,11.90,24.3579
37150,6238562,0.1000,10.92,23.1944
37200,6252603,0.1000,10.52,21.4515
37250,6266807,0.1000,9.72,22.4160
37300,6282450,0.1000,11.96,25.5917
37350,6297886,0.1000,11.40,28.5664
37400,6312231,0.1000,9.82,26.8323
37450,6325337,0.1000,8.92,26.4450
37500,6341022,0.1000,11.70,30.7964
37550,6354704,0.1000,9.26,26.1088
37600,6371054,0.1000,12.72,28.8666
37650,6385234,0.1000,9.00,22.9638
37700,6400281,0.1000,11.00,24.2566
37750,6413759,0.1000,9.76,23.1846
37800,6428380,0.1000,11.16,26.3725
37850,6441325,0.1000,8.22,24.2657
37900,6456645,0.1000,11.72,26.4501
37950,6472203,0.1000,10.84,25.8096
38000,6487496,0.1000,10.22,23.8097
38050,6502826,0.1000,11.04,25.2911
38100,6518138,0.1000,13.00,23.9262
38150,6531995,0.1000,8.74,20.4661
38200,6546289,0.1000,9.84,21.8062
38250,6559429,0.1000,8.72,21.5514
38300,6573896,0.1000,9.18,22.6733
38350,6588803,0.1000,10.66,24.0595
38400,6602406,0.1000,9.54,21.6251
38450,6615853,0.1000,9.08,23.3151
38500,6630570,0.1000,11.38,21.6917
38550,6645962,0.1000,10.76,23.2864
38600,6662772,0.1000,12.68,26.4176
38650,6676857,0.1000,11.06,22.5555
38700,6690907,0.1000,9.42,21.9678
38750,6705689,0.1000,11.48,24.4109
38800,6721096,0.1000,10.96,25.1235
38850,6735662,0.1000,10.78,25.2078
38900,6750432,0.1000,10.32,24.6586
38950,6762965,0.1000,8.72,20.2697
39000,6777145,0.1000,10.36,23.6177
39050,6791315,0.1000,10.46,26.1103
39100,6805907,0.1000,10.56,27.2190
39150,6820355,0.1000,11.50,27.7670
39200,6834734,0.1000,10.38,29.5877
39250,6850406,0.1000,11.16,30.3805
39300,6864153,0.1000,9.96,25.3580
39350,6880622,0.1000,12.32,29.0391
39400,6894522,0.1000,10.34,24.7539
39450,6910049,0.1000,11.20,25.8643
39500,6925658,0.1000,11.26,26.0716
39550,6941999,0.1000,12.60,28.3155
39600,6957201,0.1000,10.88,29.2381
39650,6970450,0.1000,8.72,27.0410
39700,6985414,0.1000,9.94,25.2852
39750,6999838,0.1000,10.78,26.2236
39800,7014616,0.1000,12.00,24.7606
39850,7029544,0.1000,10.56,25.8303
39900,7043705,0.1000,10.58,26.3540
39950,7057471,0.1000,8.98,25.0147
40000,7072873,0.1000,11.24,30.2618
40050,7089139,0.1000,12.26,34.6697
40100,7103429,0.1000,10.24,33.5027
40150,7117341,0.1000,11.28,29.4442
40200,7133669,0.1000,11.62,33.3508
40250,7148991,0.1000,11.54,31.8299
40300,7164929,0.1000,11.76,33.1957
40350,7179074,0.1000,10.62,28.4634
40400,7193606,0.1000,10.26,27.7943
40450,7206833,0.1000,8.74,26.6948
40500,7221879,0.1000,10.34,27.8218
40550,7238332,0.1000,12.38,31.8028
40600,7254359,0.1000,12.48,30.2435
40650,7267923,0.1000,9.46,24.9272
40700,7280834,0.1000,9.16,22.7966
40750,7296336,0.1000,11.78,27.3625
40800,7309898,0.1000,10.38,23.3986
40850,7325542,0.1000,11.20,27.9703
40900,7340189,0.1000,11.26,26.2436
40950,7354530,0.1000,9.72,23.4829
41000,7369571,0.1000,10.76,25.9360
41050,7383404,0.1000,9.10,21.5122
41100,7396351,0.1000,9.28,19.8771
41150,7411072,0.1000,9.58,23.4496
41200,7426220,0.1000,12.24,24.6948
41250,7441597,0.1000,11.92,24.8707
41300,7457143,0.1000,12.12,27.9435
41350,7471474,0.1000,10.08,26.5830
41400,7486884,0.1000,10.88,27.3466
41450,7500727,0.1000,9.20,24.6886
41500,7515453,0.1000,9.64,27.2483
41550,7532508,0.1000,14.78,27.6241
41600,7548554,0.1000,10.70,28.2843
41650,7564627,0.1000,11.86,26.9079
41700,7579496,0.1000,10.40,23.9433
41750,7593519,0.1000,8.58,21.8327
41800,7609189,0.1000,12.34,26.2816
41850,7624675,0.1000,11.40,25.3262
41900,7638053,0.1000,9.76,21.6135
41950,7653469,0.1000,10.16,25.4853
42000,7669817,0.1000,11.94,30.4497
42050,7684937,0.1000,11.04,27.1006
42100,7700714,0.1000,10.90,27.8514
42150,7714304,0.1000,11.18,22.4410
42200,7732404,0.1000,14.96,32.9216
42250,7747070,0.1000,10.88,27.8576
42300,7761557,0.1000,10.74,24.4772
42350,7777979,0.1000,12.78,29.5585
42400,7793365,0.1000,11.18,30.9481
42450,7809685,0.1000,12.14,30.9652
42500,7822210,0.1000,8.18,20.9728
42550,7838210,0.1000,13.00,29.6155
42600,7852397,0.1000,9.94,26.7078
42650,7867814,0.1000,12.38,26.6139
42700,7882747,0.1000,11.20,25.8441
42750,7897319,0.1000,9.68,24.8804
42800,7913127,0.1000,12.26,26.8066
42850,7928685,0.1000,11.52,26.2707
42900,7944585,0.1000,11.18,24.8260
42950,7961013,0.1000,12.56,23.9393
43000,7976430,0.1000,11.74,23.5755
43050,7989318,0.1000,8.90,19.8951
43100,8005469,0.1000,12.54,24.7947
43150,8019261,0.1000,10.10,22.4127
43200,8033645,0.1000,11.60,22.7428
43250,8049121,0.1000,11.54,25.1139
43300,8063369,0.1000,9.72,24.8495
43350,8078688,0.1000,11.84,24.9319
43400,8094630,0.1000,12.08,26.6834
43450,8109459,0.1000,10.22,25.5914
43500,8123287,0.1000,9.34,23.6919
43550,8137937,0.1000,10.72,24.8315
43600,8153055,0.1000,11.72,26.7763
43650,8165827,0.1000,9.78,19.1432
43700,8181360,0.1000,11.12,25.1142
43750,8197938,0.1000,11.88,26.0174
43800,8213060,0.1000,12.16,27.8701
43850,8226987,0.1000,8.86,26.2065
43900,8241440,0.1000,10.22,25.3076
43950,8255116,0.1000,9.42,21.1295
44000,8267702,0.1000,7.82,19.8771
44050,8283903,0.1000,12.60,25.3801
44100,8297735,0.1000,10.66,22.6173
44150,8313406,0.1000,11.96,27.2264
44200,8329336,0.1000,13.08,29.7934
44250,8344704,0.1000,11.98,28.7812
44300,8359572,0.1000,11.16,27.5925
44350,8374670,0.1000,10.44,28.9709
44400,8388857,0.1000,10.00,23.9423
44450,8405815,0.1000,13.26,27.9722
44500,8420407,0.1000,10.28,23.8947
44550,8434129,0.1000,9.96,22.0944
44600,8447834,0.1000,10.36,23.6198
44650,8460481,0.1000,8.56,23.2821
44700,8475110,0.1000,10.32,28.6084
44750,8488992,0.1000,10.84,28.5061
44800,8503663,0.1000,11.74,27.9031
44850,8518181,0.1000,9.56,26.9025
44900,8533385,0.1000,10.64,24.9857
44950,8547513,0.1000,10.62,26.8991
45000,8560383,0.1000,9.20,23.8592
45050,8576293,0.1000,11.46,27.5057
45100,8589536,0.1000,9.58,22.2633
45150,8604159,0.1000,10.32,25.6772
45200,8619509,0.1000,11.62,25.5400
45250,8634251,0.1000,11.10,25.5279
45300,8648799,0.1000,10.62,25.7129
45350,8663467,0.1000,11.08,29.3299
45400,8677768,0.1000,10.52,25.1677
45450,8691997,0.1000,10.40,23.7115
45500,8706140,0.1000,10.46,22.8298
45550,8719509,0.1000,9.14,20.7015
45600,8733764,0.1000,11.02,22.4130
45650,8747948,0.1000,10.16,23.2857
45700,8762808,0.1000,11.32,26.6529
45750,8776811,0.1000,9.76,24.3562
45800,8791599,0.1000,9.66,25.3543
45850,8806823,0.1000,11.16,23.3385
45900,8822675,0.1000,12.84,27.2453
45950,8836435,0.1000,9.86,24.9146
46000,8852760,0.1000,12.86,27.6747
46050,8869362,0.1000,12.38,26.9095
46100,8883216,0.1000,10.06,24.5119
46150,8899984,0.1000,13.06,25.8594
46200,8915877,0.1000,12.00,24.8176
46250,8930342,0.1000,10.30,22.5057
46300,8945306,0.1000,11.34,26.8117
46350,8961063,0.1000,10.58,25.4454
46400,8977978,0.1000,14.36,28.2929
46450,8994488,0.1000,13.26,26.3402
46500,9009201,0.1000,10.18,23.2013
46550,9025455,0.1000,12.24,24.5205
46600,9041161,0.1000,12.20,22.7262
46650,9055802,0.1000,9.68,19.7082
46700,9072446,0.1000,13.24,26.2565
46750,9087286,0.1000,11.40,25.3454
46800,9102379,0.1000,12.24,25.6362
46850,9118985,0.1000,12.86,27.9603
46900,9132583,0.1000,10.40,24.2219
46950,9146187,0.1000,9.06,22.1957
47000,9159566,0.1000,8.14,21.6377
47050,9174383,0.1000,10.72,21.8310
47100,9189398,0.1000,10.36,22.2455
47150,9203546,0.1000,9.96,19.8601
47200,9218476,0.1000,11.16,20.6680
47250,9234945,0.1000,13.26,25.9145
47300,9249085,0.1000,9.76,23.0771
47350,9263341,0.1000,10.72,22.5585
47400,9279647,0.1000,12.38,25.7122
47450,9295058,0.1000,12.08,27.5331
47500,9309108,0.1000,10.58,24.6547
47550,9324569,0.1000,11.78,23.9681
47600,9339946,0.1000,12.30,27.5726
47650,9355320,0.1000,12.20,29.1862
47700,9369417,0.1000,10.62,25.2028
47750,9383766,0.1000,11.02,28.5471
47800,9397281,0.1000,8.88,26.7796
47850,9411792,0.1000,9.50,30.5212
47900,9428412,0.1000,12.94,34.0299
47950,9442611,0.1000,9.68,27.9694
48000,9459099,0.1000,13.00,33.8640
48050,9475335,0.1000,14.22,37.5118
48100,9489847,0.1000,10.46,29.6925
48150,9503553,0.1000,9.60,28.7057
48200,9517078,0.1000,9.44,30.1567
48250,9529663,0.1000,8.36,30.6765
48300,9543738,0.1000,10.52,35.8469
48350,9560365,0.1000,12.42,38.4442
48400,9577716,0.1000,13.52,37.0226
48450,9590806,0.1000,9.06,26.5510
48500,9605121,0.1000,10.60,28.0247
48550,9620297,0.1000,10.46,33.7585
48600,9635376,0.1000,10.74,33.4699
48650,9650329,0.1000,10.28,27.4920
48700,9663842,0.1000,8.94,23.2092
48750,9678272,0.1000,10.32,26.4270
48800,9691444,0.1000,9.32,26.2426
48850,9706582,0.1000,11.80,30.6355
48900,9720006,0.1000,10.16,25.0447
48950,9734713,0.1000,11.70,28.7123
49000,9749803,0.1000,11.86,33.6168
49050,9765825,0.1000,11.40,33.3756
49100,9781266,0.1000,11.44,31.0744
49150,9796541,0.1000,11.42,30.4884
49200,9812324,0.1000,11.36,31.5413
49250,9827138,0.1000,10.66,31.0592
49300,9842218,0.1000,9.92,27.7436
49350,9858433,0.1000,11.28,27.3981
49400,9873381,0.1000,10.82,29.2758
49450,9888744,0.1000,12.16,27.4946
49500,9903677,0.1000,10.56,28.8585
49550,9919709,0.1000,12.38,27.5033
49600,9934996,0.1000,10.34,24.9053
49650,9943972,0.1000,5.10,15.0922
49700,9957126,0.1000,9.60,23.5166
49750,9972156,0.1000,10.64,28.1692
49800,9987774,0.1000,12.38,29.7547
49850,10001506,0.1000,10.40,26.1404
49900,10016662,0.1000,11.10,26.0197
49950,10033098,0.1000,12.12,30.3744
50000,10048603,0.1000,12.18,27.5199
50050,10065279,0.1000,11.82,29.7848
50100,10080926,0.1000,10.48,27.6374
50150,10097366,0.1000,11.78,31.7148
50200,10113060,0.1000,11.44,28.9063
50250,10130664,0.1000,12.90,29.8533
50300,10145379,0.1000,10.36,24.0474
50350,10159629,0.1000,10.26,22.4862
50400,10172724,0.1000,8.34,19.9021
50450,10187531,0.1000,11.56,22.0342
50500,10201511,0.1000,10.20,24.3977
50550,10216027,0.1000,11.56,25.4000
50600,10231773,0.1000,11.50,29.2033
50650,10247470,0.1000,11.16,28.8694
50700,10261010,0.1000,9.98,24.1915
50750,10274692,0.1000,9.08,26.1787
50800,10290062,0.1000,11.58,29.2986
50850,10303639,0.1000,10.32,23.9688
50900,10318082,0.1000,10.96,24.6485
50950,10334866,0.1000,12.78,28.0923
51000,10348783,0.1000,11.42,22.3663
51050,10363758,0.1000,11.16,24.5684
51100,10380659,0.1000,12.18,27.8516
51150,10394816,0.1000,10.40,24.1530
51200,10412932,0.1000,14.58,31.0458
51250,10428893,0.1000,12.06,27.4243
51300,10442585,0.1000,9.80,25.3536
51350,10456623,0.1000,9.54,24.5068
51400,10473495,0.1000,12.30,27.1310
51450,10488918,0.1000,12.72,26.6970
51500,10505558,0.1000,12.94,30.8826
51550,10519817,0.1000,10.20,27.7838
51600,10533023,0.1000,8.82,20.9897
51650,10549469,0.1000,11.82,24.4940
51700,10565647,0.1000,13.30,25.1737
51750,10580137,0.1000,9.48,26.1428
51800,10592983,0.1000,9.22,20.6700
51850,10607194,0.1000,10.76,24.4237
51900,10625431,0.1000,14.74,33.2311
51950,10640801,0.1000,11.62,29.9032
52000,10658416,0.1000,14.30,38.2936
52050,10673189,0.1000,11.22,28.0301
52100,10688737,0.1000,10.30,28.3982
52150,10703178,0.1000,10.68,25.7243
52200,10717680,0.1000,10.98,25.5160
52250,10733488,0.1000,12.00,29.1916
52300,10748840,0.1000,11.36,27.6384
52350,10762758,0.1000,10.14,25.2387
52400,10778892,0.1000,11.68,30.8840
52450,10796903,0.1000,14.54,33.5994
52500,10810397,0.1000,9.94,25.6341
52550,10826592,0.1000,12.32,32.2014
52600,10842000,0.1000,11.50,30.0783
52650,10854881,0.1000,8.20,26.3413
52700,10871382,0.1000,12.36,32.8288
52750,10886726,0.1000,11.42,31.1166
52800,10900705,0.1000,9.52,28.1918
52850,10915628,0.1000,11.54,27.6908
52900,10928725,0.1000,8.66,25.7813
52950,10944257,0.1000,11.56,31.3171
53000,10958182,0.1000,10.62,26.1274
53050,10974974,0.1000,13.06,31.3676
53100,10989370,0.1000,11.66,30.6141
53150,11003821,0.1000,10.10,30.9134
53200,11019419,0.1000,12.44,34.0671
53250,11034650,0.1000,12.18,34.7914
53300,11048429,0.1000,10.42,30.1574
53350,11062148,0.1000,10.54,32.0656
53400,11077059,0.1000,11.12,38.6209
53450,11091798,0.1000,10.80,34.7983
53500,11109910,0.1000,14.40,42.4123
53550,11122817,0.1000,9.42,30.3229
53600,11138268,0.1000,11.04,36.6222
53650,11151342,0.1000,9.08,30.0711
53700,11166831,0.1000,11.62,38.8481
53750,11180094,0.1000,10.10,32.1697
53800,11196019,0.1000,11.62,36.6388
53850,11208651,0.1000,9.54,27.4964
53900,11222315,0.1000,9.34,30.8604
53950,11235759,0.1000,9.70,31.0681
54000,11250630,0.1000,10.44,34.7967
54050,11266296,0.1000,11.38,36.7781
54100,11283142,0.1000,13.10,42.2853
54150,11298385,0.1000,12.78,38.0502
54200,11314324,0.1000,11.92,40.3939
54250,11330408,0.1000,12.12,41.9901
54300,11347223,0.1000,12.62,37.1345
54350,11364579,0.1000,12.90,39.9101
54400,11378108,0.1000,9.28,33.6156
54450,11392659,0.1000,10.30,38.0090
54500,11407593,0.1000,11.38,35.1372
54550,11424184,0.1000,13.08,40.6969
54600,11440640,0.1000,12.16,34.8039
54650,11455998,0.1000,11.24,31.2485
54700,11470490,0.1000,11.14,31.1156
54750,11484254,0.1000,9.22,29.2831
